,Pressure (Pa),Adsorption (molecules/uc),Unit cell length (Angstrom),Heat of adsorption (kJ/mol),Solid-fluid energy (K),Fluid-fluid energy (K)
0,5.0,3.4048125,25.83199999981617,-12.11523,-27592.910057602432,-91.9325800240085
1,10.0,6.58116875,25.83199999981617,-14.28194,-41673.72840711158,-329.36221205938295
2,20.0,12.74393125,25.83199999981617,-14.45507,-79457.44889845194,-666.0322566018106
3,30.0,18.327375,25.83199999981617,-15.21245,-92359.90203664739,-1136.7595158061247
4,40.0,23.86259375,25.83199999981617,-15.2087,-108711.53173826695,-2127.4242380235564
5,50.0,30.24995625,25.83199999981617,-14.31272,-134151.12617918596,-4519.314912542849
6,60.0,38.29765,25.83199999981617,-12.82007,-165502.45552798494,-9501.533451785132
7,65.0,45.023475,25.83199999981617,-10.25477,-381706.26273197675,-32836.78889888877
8,66.0,157.04618125,25.83199999981617,-11.6713,-1110508.6060331392,-481161.52026053483
9,70.0,223.7195625,25.83199999981617,-15.56709,-1311592.382048883,-764839.2852011493
10,80.0,232.46355625,25.83199999981617,24.622,-1521917.0953961925,-2935692.7358609643
11,90.0,237.35513125,25.83199999981617,37.85029,-1601346.0907900867,-3275415.25803972
12,100.0,241.0943,25.83199999981617,58.04684,-1659787.4390426003,-3496151.5085813873
13,110.0,243.95533125,25.83199999981617,76.7437,-1725877.5327427334,-3658087.281948188
14,120.0,244.8851125,25.83199999981617,140.48131,-1749645.161304625,-3781812.2469091215
15,130.0,246.86186875,25.83199999981617,188.35664,-1762713.7131149082,-3834772.311079547
16,140.0,247.79213125,25.83199999981617,170.13701,-1789180.5318145968,-3903756.2608236615
17,150.0,248.36296875,25.83199999981617,206.45024,-1790078.7348426187,-3971663.4549058457
18,160.0,249.06308125,25.83199999981617,189.80726,-1815474.698297789,-3987966.717921791
19,170.0,249.87081875,25.83199999981617,256.39036,-1831421.1142586381,-4017182.054842021
20,180.0,250.9720375,25.83199999981617,318.77802,-1837285.725567797,-4066949.8572609713
21,190.0,251.20674375,25.83199999981617,265.70865,-1831119.877303825,-4124512.345250881
22,200.0,252.09581875,25.83199999981617,264.14262,-1833319.6817578212,-4143781.1775804907
